Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
79,00:47:48,Munterconnaught,Shot from play,2,Wide,Ryan Nwaneri,0.1897482,0.2306239,0,#ed1c24,1,0
80,00:48:03,Denn,Kickout,2,Won clean,Ben Conaty,0.5503597,0.5000175,1,,1,0
81,00:48:43,Denn,Scoreable free,2,Point,Nathan Quigley,0.8048561,0.6089689,1,#ffffff,1,1
82,00:49:00,Munterconnaught,Kickout,2,Break won,Ryan Nwaneri,0.5593525,0.147791,1,,1,0
83,00:50:41,Denn,Shot from play,2,45,Ben Conaty,0.9010791,0.5918053,0,#ed1c24,1,0
84,00:51:15,Denn,Scoreable free,2,Point,Mark Fegan,0.7000899,0.3380828,1,#ffffff,1,1
85,00:51:45,Munterconnaught,Kickout,2,Lost clean,Nathan Quigley,0.7356115,0.8686613,1,#ed1c24,0,0
86,00:52:33,Denn,Shot from play,2,Point,Nathan Quigley,0.841277,0.326143,1,#ffffff,1,1
87,00:52:44,Munterconnaught,Kickout,2,Lost clean,Mark Mcsherry,0.6191547,0.1157026,1,#ed1c24,0,0
88,00:53:22,Denn,Shot from play,2,Wide,Mark Reilly,0.8480216,0.7097116,0,#ed1c24,1,0
89,00:53:30,Munterconnaught,Kickout,2,Break lost,Oisin Kiernan,0.5939748,0.7283677,1,,0,0
90,00:55:48,Munterconnaught,Shot from play,2,2 Points,Nathan DeKleer,0.2576439,0.1925655,2,#f7941d,1,2
91,00:56:11,Denn,Kickout,2,Break won,Mark Mcsherry,0.4892086,0.7895596,1,,1,0
92,00:57:11,Denn,Shot from play,2,Wide,Mark Reilly,0.8178957,0.3522615,0,#ed1c24,1,0
93,00:57:24,Munterconnaught,Kickout,2,Sideline ball,,0.6785072,0.966419,0,,0,0
94,00:58:00,Denn,Shot from play,2,Point,Mark Reilly,0.8543165,0.4910626,1,#ffffff,1,1
95,00:58:07,Munterconnaught,Kickout,2,Break lost,Sean Donohoe,0.6488309,0.4059909,1,,0,0
96,00:59:04,Denn,Shot from play,2,Point,Mark Reilly,0.8264388,0.4253932,1,#ffffff,1,1
97,00:59:12,Munterconnaught,Kickout,2,Won clean,,0.6047662,0.8209018,1,,1,0
98,01:00:20,Munterconnaught,Shot from play,2,Wide,Fintan Devin,0.193795,0.2515187,0,#ed1c24,1,0
99,01:00:29,Denn,Kickout,2,Short won,Finian Smith,0.1946942,0.09480778,1,,1,0
100,01:02:23,Denn,Shot from play,2,Point,Ben Conaty,0.919964,0.5186735,1,#ffffff,1,1
