Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
61,00:32:33,Ballinagh,Scoreable free,2,Wide,Kevin Smith,0.7895683,0.2836072,0,#ed1c24,1,0
62,00:32:51,Gowna,Kickout,2,Won clean,,0.589928,0.3380828,1,,1,0
63,00:33:15,Gowna,Shot from play,2,Point,Player 11,0.1852518,0.2500262,1,#ffffff,1,1
64,00:33:32,Ballinagh,Kickout,2,Break won,Thomas Smith,0.3808453,0.7186666,1,,1,0
65,00:35:04,Gowna,Shot from play,2,Point,Player 5,0.1294964,0.2403251,1,#ffffff,1,1
66,00:35:19,Ballinagh,Kickout,2,Break lost,,0.4811151,0.5440458,1,,0,0
67,00:35:46,Gowna,Shot from play,2,Point,Player 14,0.2257194,0.4127071,1,#ffffff,1,1
68,00:36:01,Ballinagh,Kickout,2,Break lost,,0.4289568,0.61867,1,,0,0
69,00:37:53,Gowna,Shot from play,2,2 Points,Player 11,0.2621403,0.3239042,2,#f7941d,1,2
70,00:38:22,Ballinagh,Kickout,2,Break won,Cormac Timoney,0.5989208,0.49554,1,,1,0
71,00:40:18,Gowna,Shot from play,2,Point,Player 12,0.1960432,0.7007567,1,#ffffff,1,1
72,00:40:31,Ballinagh,Kickout,2,Won clean,Paddy O’Brien,0.556205,0.2545037,1,,1,0
73,00:41:26,Ballinagh,Shot from play,2,Short,Kevin Smith,0.7014388,0.517181,-1,#ed1c24,1,0
74,00:41:57,Gowna,Shot from play,2,Wide,Player 11,0.2634892,0.3052482,0,#ed1c24,1,0
75,00:42:07,Ballinagh,Kickout,2,Break lost,,0.4433453,0.1746557,1,,0,0
76,00:43:02,Gowna,Scoreable free,2,Wide,Player 14,0.3165467,0.2030129,0,#ed1c24,1,0
77,00:43:26,Ballinagh,Kickout,2,Break won,,0.4982014,0.6992642,1,,1,0
78,00:44:16,Ballinagh,Scoreable free,2,Point,Kevin Smith,0.7760791,0.5119573,1,#ffffff,1,1
79,00:44:44,Gowna,Kickout,2,Short won,Player 5,0.8304856,0.9022422,1,,1,0
80,00:46:06,Gowna,Shot from play,2,2 Points,Player 14,0.2891187,0.6015065,2,#f7941d,1,2
81,00:46:35,Ballinagh,Kickout,2,Break lost,,0.5139388,0.4470342,1,,0,0
82,00:47:52,Ballinagh,Scoreable free,2,Wide,Eamon McEvoy,0.6677158,0.4813614,0,#ed1c24,1,0
83,00:48:34,Gowna,Kickout,2,Short lost,,0.8093525,0.1030164,1,#ed1c24,0,0
84,00:49:19,Gowna,Shot from play,2,Point,Player 14,0.1919964,0.7201591,1,#ffffff,1,1
85,00:49:38,Ballinagh,Kickout,2,Won clean,Cormac Timoney,0.4905576,0.394051,1,,1,0
86,00:50:56,Gowna,Shot from play,2,Wide,Player 11,0.1816547,0.2112216,0,#ed1c24,1,0
87,00:51:09,Ballinagh,Kickout,2,Break lost,,0.4977518,0.3731562,1,,0,0
88,00:51:36,Gowna,Shot from play,2,2 Points,Player 14,0.2895683,0.6097152,2,#f7941d,1,2
89,00:52:05,Ballinagh,Kickout,2,Break won,,0.4244604,0.1604771,1,,1,0
90,00:52:19,Ballinagh,Scoreable free,2,Wide,Eamon McEvoy,0.709982,0.5022562,0,#ed1c24,1,0
91,00:53:18,Gowna,Kickout,2,Short won,,0.7634892,0.008989875,1,,1,0
92,00:53:51,Gowna,Shot from play,2,Point,,0.03956833,0.6895631,1,#ffffff,1,1
93,00:54:02,Ballinagh,Kickout,2,Won clean,Cormac Timoney,0.453687,0.5000175,1,,1,0
94,00:54:55,Ballinagh,Shot from play,2,Goal,Ronan Connolly,0.8615108,0.4776302,3,#70B12A,1,3
95,00:55:10,Gowna,Kickout,2,Break lost,,0.402428,0.4350944,1,,0,0
96,00:56:01,Ballinagh,Shot from play,2,Short,Shane Finnegan,0.8250899,0.7432925,-1,#ed1c24,1,0
97,00:56:15,Gowna,Kickout,2,Short won,,0.7126799,0.3828574,1,,1,0
98,00:57:19,Ballinagh,Kickout,2,Short won,,0.209982,0.147791,1,,1,0
99,00:58:14,Gowna,Shot from play,2,Point,Player 14,0.2468525,0.5276284,1,#ffffff,1,1
100,00:58:38,Ballinagh,Kickout,2,Break won,Damien Reilly,0.3835432,0.3716638,1,,1,0
101,00:59:06,Ballinagh,Shot from play,2,Goal,Ronan Connolly,0.8588129,0.4156921,3,#70B12A,1,3
102,00:59:51,Gowna,Shot from play,2,45,,0.3214928,0.3649476,0,#ed1c24,1,0
103,01:00:35,Gowna,Scoreable free,2,45,Player 14,0.3089029,0.3522615,0,#ed1c24,1,0
104,01:01:01,Ballinagh,Kickout,2,Break won,,0.4860612,0.7470238,1,,1,0
105,01:01:38,Ballinagh,Shot from play,2,Short,,0.8138489,0.298532,-1,#ed1c24,1,0
106,01:02:09,Ballinagh,Shot from play,2,Save,Ronan Connolly,0.9213129,0.3410678,0,#ed1c24,1,0
