Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
70,00:18:19,Killinkere,Possession lost,1,Handling,Kevin McCabe,,,-1,,1,0
71,00:18:22,Killinkere,Attacks,1,Carry lost,Kevin McCabe,,,0,,1,0
72,00:18:27,Killinkere,Free conceded,1,Attacking third,Kevin McCabe,,,0,,1,0
73,00:18:58,Killinkere,Free conceded,1,Defensive third,Conall Mooney,,,-1,,1,0
74,00:19:23,Belturbet,Scoreable free,1,Point,Player 13,0.7922256,0.6463138,1,#ffffff,1,1
75,00:19:28,Belturbet,Attacks,1,Mark taken,Player 13,,,1,,1,0
76,00:19:37,Killinkere,Kickout,1,Break won,,0.4657012,0.2243191,1,,1,0
77,00:19:54,Killinkere,Possession lost,1,Handling,James Farrelly,,,-1,,1,0
78,00:20:32,Belturbet,Shot from play,1,Short,Player 11,0.8617378,0.727525,-1,#ed1c24,1,0
79,00:20:37,Belturbet,Attacks,1,Shot taken,Player 11,,,0,,1,0
80,00:21:11,Killinkere,Shot from play,1,Goal,Fiachra Mooney,0.04588415,0.6493497,3,#70B12A,1,3
81,00:21:18,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
82,00:21:45,Belturbet,Kickout,1,Break lost,Fiachra Mooney,0.4227134,0.3040123,1,,0,0
83,00:22:24,Killinkere,Shot from play,1,2 Points,Conall Mooney,0.3001525,0.5127327,2,#f7941d,1,2
84,00:22:29,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
85,00:22:42,Belturbet,Kickout,1,Break won,Player 7,0.4739329,0.4292446,1,,1,0
86,00:23:55,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.2283537,0.5096968,1,#ffffff,1,1
87,00:23:59,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
88,00:24:16,Killinkere,Shot from play,1,Wide,Benny McConnell,0.2420732,0.4163419,0,#ed1c24,1,0
89,00:25:00,Killinkere,Attacks,1,Shot taken,Benny McConnell,,,0,,1,0
90,00:25:17,Belturbet,Kickout,1,Break lost,Alex Sweeney,0.4103658,0.4656758,1,,0,0
