Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
68,00:17:47,Killinkere,Kickout,1,Won clean,Emmett Fitzsimons,0.5041159,0.06113768,1,,1,0
69,00:17:56,Cornafean,Free conceded,1,Defensive third,,,,-1,,1,0
70,00:18:34,Killinkere,Scoreable free,1,Wide,Conall Mooney,0.1615854,0.07252243,0,#ed1c24,1,0
71,00:18:40,Killinkere,Attacks,1,Mark taken,Conall Mooney,,,1,,1,0
72,00:18:59,Cornafean,Kickout,1,Won clean,Player 5,0.2667683,0.954461,1,,1,0
73,00:19:42,Killinkere,Free conceded,1,Defensive third,Kevin McCabe,,,-1,,1,0
74,00:20:06,Cornafean,Scoreable free,1,Point,Player 13,0.9083841,0.4952761,1,#ffffff,1,1
75,00:20:10,Cornafean,Attacks,1,Mark taken,Player 13,,,1,,1,0
76,00:20:26,Killinkere,Kickout,1,Break won,Jason McMahon,0.4158536,0.7320789,1,,1,0
77,00:20:47,Cornafean,Free conceded,1,Middle third,,,,0,,1,0
78,00:21:19,Killinkere,Possession lost,1,Hand pass,Emmett Fitzsimons,,,-1,,1,0
79,00:21:25,Killinkere,Attacks,1,Carry lost,Emmett Fitzsimons,,,0,,1,0
80,00:21:34,Cornafean,Shot from play,1,Short,Player 13,0.8233232,0.3009764,-1,#ed1c24,1,0
81,00:21:38,Cornafean,Attacks,1,Shot taken,Player 13,,,0,,1,0
82,00:21:51,Cornafean,Free conceded,1,Middle third,Player 9,,,0,,1,0
83,00:22:00,Killinkere,Possession lost,1,Handling,Benny McConnell,,,-1,,1,0
84,00:22:12,Killinkere,Free conceded,1,Middle third,,,,0,,1,0
85,00:22:25,Cornafean,Shot from play,1,Wide,Player 15,0.8242378,0.7449816,0,#ed1c24,1,0
86,00:22:29,Cornafean,Attacks,1,Shot taken,Player 15,,,0,,1,0
87,00:22:36,Killinkere,Kickout,1,Short won,Jason McMahon,0.7881098,0.1590465,1,,1,0
88,00:23:00,Killinkere,Possession lost,1,Handling,Cian McGovern,,,-1,,1,0
89,00:23:18,Cornafean,Shot from play,1,Wide,Player 11,0.7675305,0.226596,0,#ed1c24,1,0
90,00:23:27,Cornafean,Attacks,1,Shot taken,Player 11,,,0,,1,0
91,00:23:29,Killinkere,Kickout,1,Break won,Benny McConnell,0.425,0.819362,1,,1,0
92,00:23:40,Killinkere,Possession lost,1,Handling,Neill McCabe,,,-1,,1,0
93,00:23:45,Killinkere,Turnover,1,Interception,Emmett Fitzsimons,,,2,,1,0
94,00:24:01,Killinkere,Shot from play,1,Wide,Jason McMahon,0.1949695,0.2455706,0,#ed1c24,1,0
95,00:24:05,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
96,00:24:28,Cornafean,Kickout,1,Short won,Player 4,0.2539634,0.7480175,1,,1,0
97,00:24:55,Killinkere,Turnover,1,Interception,Luke Crossan,,,2,,1,0
98,00:25:02,Killinkere,Possession lost,1,Sideline,Luke Crossan,,,-1,,1,0
99,00:26:00,Cornafean,Scoreable free,1,Wide,Player 11,0.8429878,0.9354864,0,#ed1c24,1,0
100,00:26:10,Cornafean,Attacks,1,Mark taken,Player 11,,,1,,1,0
101,00:26:13,Killinkere,Kickout,1,Break won,Nathan McQuade,0.5544207,0.4049571,1,,1,0
102,00:26:53,Killinkere,Shot from play,1,Wide,Conall Mooney,0.2626524,0.7206941,0,#ed1c24,1,0
103,00:26:58,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
104,00:27:22,Cornafean,Kickout,1,Sideline ball,,0.2846037,0.954461,0,,0,0
105,00:28:07,Cornafean,Shot from play,1,Wide,Player 11,0.7506098,0.2683401,0,#ed1c24,1,0
106,00:28:11,Cornafean,Attacks,1,Shot taken,Player 11,,,0,,1,0
107,00:28:15,Killinkere,Kickout,1,Short won,Luke Crossan,0.7666159,0.8740088,1,,1,0
108,00:28:52,Killinkere,Possession lost,1,Kick pass,Neill McCabe,,,-1,,1,0
109,00:28:57,Killinkere,Attacks,1,Kick lost,Neill McCabe,,,0,,1,0
110,00:29:21,Cornafean,Shot from play,1,Short,Player 11,0.7501525,0.5704154,-1,#ed1c24,1,0
111,00:29:25,Cornafean,Attacks,1,Shot taken,Player 11,,,0,,1,0
112,00:29:58,Killinkere,Shot from play,1,Save,Kevin McCabe,0.1185976,0.5203226,0,#ed1c24,1,0
113,00:30:02,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
114,00:30:53,Cornafean,Shot from play,1,Wide,Player 11,0.8407012,0.5992568,0,#ed1c24,1,0
115,00:30:58,Cornafean,Attacks,1,Shot taken,Player 11,,,0,,1,0
116,00:31:05,Killinkere,Kickout,1,Break won,Cian McGovern,0.5914634,0.363213,1,,1,0
117,00:31:21,Killinkere,Possession lost,1,Kick pass,Cian McGovern,,,-1,,1,0
