Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
67,00:19:18,Laragh,Shot from play,1,Wide,Player 10,0.7583842,0.4763016,0,#ed1c24,1,0
68,00:19:23,Laragh,Attacks,1,Shot taken,Player 10,,,0,,1,0
69,00:19:33,Killinkere,Kickout,1,Break won,Kevin McCabe,0.3778963,0.8110132,1,,1,0
70,00:19:45,Laragh,Free conceded,1,Middle third,,,,0,,1,0
71,00:19:57,Killinkere,Shot from play,1,Point,Kevin McCabe,0.1272866,0.6205084,1,#ffffff,1,1
72,00:20:00,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
73,00:20:16,Laragh,Kickout,1,Break lost,Alex Sweeney,0.4272866,0.4618809,1,,0,0
74,00:20:30,Killinkere,Possession lost,1,Hand pass,Emmett Fitzsimons,,,-1,,1,0
75,00:20:37,Killinkere,Attacks,1,Possession lost,Emmett Fitzsimons,,,0,,1,0
76,00:21:21,Killinkere,Turnover,1,In Contact,Alex Sweeney,,,3,,1,0
77,00:22:10,Laragh,Shot from play,1,Short,Player 7,0.8182927,0.3222279,-1,#ed1c24,1,0
78,00:22:15,Laragh,Attacks,1,Shot taken,Player 7,,,0,,1,0
79,00:22:36,Killinkere,Free conceded,1,Middle third,Nathan McQuade,,,0,,1,0
80,00:23:18,Laragh,Free conceded,1,Middle third,Player 7,,,0,,1,0
81,00:23:29,Killinkere,Possession lost,1,Hand pass,Kevin McCabe,,,-1,,1,0
82,00:23:32,Killinkere,Attacks,1,Possession lost,Kevin McCabe,,,0,,1,0
83,00:24:18,Laragh,Shot from play,1,Point,Player 15,0.7657012,0.4580859,1,#ffffff,1,1
84,00:24:22,Laragh,Attacks,1,Shot taken,Player 15,,,0,,1,0
85,00:24:30,Killinkere,Kickout,1,Lost clean,Player 5,0.3897866,0.728284,1,#ed1c24,0,0
86,00:24:47,Laragh,Shot from play,1,Wide,Player 13,0.8539634,0.7009606,0,#ed1c24,1,0
87,00:24:52,Laragh,Attacks,1,Shot taken,Player 13,,,0,,1,0
88,00:24:57,Killinkere,Kickout,1,Sideline ball,Player 2,0.6134146,0.03685022,0,,0,0
89,00:25:49,Laragh,Shot from play,1,Point,Player 2,0.78125,0.5878721,1,#ffffff,1,1
90,00:25:58,Laragh,Attacks,1,Shot taken,Player 2,,,0,,1,0
91,00:26:08,Killinkere,Kickout,1,Won clean,Cian McGovern,0.3746951,0.1787801,1,,1,0
92,00:26:21,Killinkere,Shot from play,1,Wide,Kevin McCabe,0.2384146,0.4709887,0,#ed1c24,1,0
93,00:26:29,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
94,00:26:49,Laragh,Kickout,1,Break won,,0.592378,0.5043839,1,,1,0
95,00:26:59,Laragh,Shot from play,1,Goal,Player 15,0.9097561,0.4861683,3,#70B12A,1,3
96,00:27:06,Laragh,Attacks,1,Shot taken,Player 15,,,0,,1,0
97,00:27:14,Killinkere,Kickout,1,Won clean,Kevin McCabe,0.3783537,0.8557932,1,,1,0
98,00:27:43,Killinkere,Shot from play,1,Wide,Phelim Cusack,0.2466463,0.4778195,0,#ed1c24,1,0
99,00:27:48,Killinkere,Attacks,1,Shot taken,Phelim Cusack,,,0,,1,0
100,00:28:06,Laragh,Kickout,1,Break lost,Luke Crossan,0.5096037,0.4876863,1,,0,0
101,00:28:45,Killinkere,Shot from play,1,Point,Ciaran Flynn,0.2169207,0.366249,1,#ffffff,1,1
102,00:28:48,Killinkere,Attacks,1,Shot taken,Ciaran Flynn,,,0,,1,0
103,00:29:07,Laragh,Kickout,1,Break won,Player 8,0.4314024,0.8937423,1,,1,0
104,00:29:23,Killinkere,Shot from play,1,Point,Cian McGovern,0.1903963,0.592426,1,#ffffff,1,1
105,00:29:25,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
106,00:30:07,Laragh,Kickout,1,Break won,Player 2,0.3865854,0.4398703,1,,1,0
107,00:30:31,Laragh,Shot from play,1,Point,Player 10,0.8745427,0.6857809,1,#ffffff,1,1
108,00:30:34,Laragh,Attacks,1,Shot taken,Player 10,,,0,,1,0
109,00:30:06,Laragh,Free conceded,2,Middle third,Player 8,,,0,,1,0
110,00:30:19,Laragh,Free conceded,2,Defensive third,Player 4,,,-1,,1,0
111,00:30:40,Killinkere,Scoreable free,2,Point,Cian McGovern,0.791311,0.4770605,1,#ffffff,1,1
112,00:31:06,Laragh,Kickout,2,Break lost,Alex Sweeney,0.4332317,0.4277266,1,,0,0
113,00:31:16,Killinkere,Possession lost,2,In Contact,Emmett Fitzsimons,,,-1,,1,0
114,00:31:41,Laragh,Shot from play,2,Short,Player 8,0.2393293,0.6546626,-1,#ed1c24,1,0
115,00:31:49,Laragh,Attacks,2,Shot taken,Player 8,,,0,,1,0
116,00:31:57,Laragh,Free conceded,2,Middle third,,,,0,,1,0
117,00:32:20,Laragh,Free conceded,2,Middle third,Player 8,,,0,,1,0
118,00:32:37,Killinkere,Possession lost,2,Handling,Alex Sweeney,,,-1,,1,0
119,00:33:03,Laragh,Shot from play,2,Wide,Player 15,0.1743902,0.3047713,0,#ed1c24,1,0
120,00:33:06,Laragh,Attacks,2,Shot taken,Player 15,,,0,,1,0
121,00:33:24,Killinkere,Kickout,2,Sideline ball,,0.4117378,0.0102858,0,,0,0
122,00:33:52,Killinkere,Turnover,2,In Contact,Kevin McCabe,,,3,,1,0
123,00:34:19,Killinkere,Shot from play,2,Save,Emmett Fitzsimons,0.85625,0.4983121,0,#ed1c24,1,0
124,00:34:24,Killinkere,Shot from play,2,Point,James Farrelly,0.8695122,0.682745,1,#ffffff,1,1
125,00:34:29,Killinkere,Attacks,2,Shot taken,James Farrelly,,,0,,1,0
