Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:18,1,Killinkere,Possession lost,In Contact,Ryan Smith
2,00:00:41,1,Killinkere,Turnover,In Contact,Shaun Clarke
3,00:00:47,1,Denn,Attacks,Carry lost,Player 11
4,00:02:06,1,Killinkere,Shot from play,Point,Keiran Smith
5,00:02:10,1,Killinkere,Attacks,Shot taken,Keiran Smith
6,00:02:24,1,Denn,Kickout,Break lost,Sean Brady
7,00:03:01,1,Killinkere,Possession lost,Kick pass,
8,00:03:23,1,Denn,Shot from play,Wide,Player 10
9,00:03:30,1,Denn,Attacks,Shot taken,Player 10
10,00:03:40,1,Killinkere,Kickout,Sideline ball,Player 16
11,00:04:24,1,Killinkere,Kickout,Lost clean,Player 8
12,00:04:34,1,Denn,Free conceded,Middle third,Player 8
13,00:05:01,1,Killinkere,Possession lost,Handling,Ruairi O Connell
14,00:05:06,1,Killinkere,Attacks,Carry lost,Ruairi O Connell
15,00:05:58,1,Denn,Shot from play,Point,Player 6
16,00:06:04,1,Denn,Attacks,Shot taken,Player 6
17,00:06:17,1,Killinkere,Kickout,Won clean,Shaun Clarke
18,00:06:43,1,Killinkere,Turnover,In Contact,Ryan Smith
19,00:06:53,1,Killinkere,Possession lost,Hand pass,Keiran Smith
20,00:07:07,1,Killinkere,Turnover,In Contact,Harry Banville
21,00:07:34,1,Killinkere,Shot from play,Point,Phelim Cusack
22,00:07:40,1,Killinkere,Attacks,Shot taken,Phelim Cusack
23,00:07:52,1,Denn,Kickout,Lost clean,Ruairi O Connell
24,00:08:17,1,Killinkere,Shot from play,Wide,Phelim Cusack
25,00:08:22,1,Killinkere,Attacks,Shot taken,Phelim Cusack
26,00:08:39,1,Denn,Kickout,Break won,Player 12
27,00:09:12,1,Killinkere,Turnover,Interception,Ruairi O Connell
28,00:09:15,1,Denn,Attacks,Carry lost,Player 13
29,00:09:28,1,Denn,Free conceded,Middle third,
30,00:09:43,1,Killinkere,Shot from play,Point,Ben Philingham
31,00:09:53,1,Killinkere,Attacks,Shot taken,Ben Philingham
32,00:10:02,1,Denn,Kickout,Won clean,Player 10
33,00:10:33,1,Denn,Free conceded,Middle third,
34,00:10:54,1,Denn,Free conceded,Middle third,Player 10
35,00:11:08,1,Killinkere,Possession lost,Hand pass,David Ryan
36,00:11:17,1,Denn,Free conceded,Middle third,Player 11
37,00:11:41,1,Killinkere,Shot from play,Short,Philip Corrigan
38,00:11:48,1,Killinkere,Attacks,Shot taken,Philip Corrigan
39,00:12:36,1,Killinkere,Turnover,In Contact,Cian Fitzsimons
40,00:13:14,1,Killinkere,Possession lost,Kick pass,Keiran Smith
41,00:13:20,1,Killinkere,Attacks,Kick lost,Keiran Smith
42,00:13:37,1,Denn,Shot from play,Wide,Player 12
43,00:13:42,1,Denn,Attacks,Shot taken,Player 12
44,00:14:01,1,Killinkere,Kickout,Sideline ball,Player 1
45,00:14:50,1,Denn,Shot from play,Wide,Player 8
46,00:14:55,1,Denn,Attacks,Shot taken,Player 8
47,00:15:11,1,Killinkere,Kickout,Won clean,Keiran Smith
48,00:15:50,1,Killinkere,Possession lost,In Contact,Ryan Smith
49,00:15:53,1,Killinkere,Attacks,Carry lost,Ryan Smith
50,00:16:04,1,Denn,Free conceded,Middle third,Player 9
51,00:16:30,1,Killinkere,Possession lost,Kick pass,Philip Corrigan
52,00:16:36,1,Killinkere,Attacks,Kick lost,Philip Corrigan
53,00:16:58,1,Denn,Shot from play,Point,Player 11
54,00:17:02,1,Denn,Attacks,Shot taken,Player 11
55,00:17:12,1,Killinkere,Kickout,Short won,Cian Fitzsimons
56,00:17:26,1,Denn,Free conceded,Middle third,Player 8
57,00:19:50,1,Killinkere,Shot from play,Point,David Ryan
58,00:19:55,1,Killinkere,Attacks,Shot taken,David Ryan
59,00:20:03,1,Denn,Kickout,Won clean,
60,00:20:21,1,Denn,Shot from play,Wide,
61,00:20:29,1,Denn,Attacks,Shot taken,
62,00:20:43,1,Killinkere,Kickout,Break lost,Player 10
63,00:20:58,1,Killinkere,Turnover,Interception,Ruairi O Connell
64,00:21:21,1,Killinkere,Shot from play,Wide,Phelim Cusack
65,00:21:26,1,Killinkere,Attacks,Shot taken,Phelim Cusack
66,00:21:32,1,Denn,Kickout,Lost clean,Ruairi O Connell
67,00:21:49,1,Killinkere,Shot from play,Goal,Phelim Cusack
68,00:21:54,1,Killinkere,Attacks,Shot taken,Phelim Cusack
69,00:22:12,1,Denn,Kickout,Won clean,Player 10
70,00:22:30,1,Killinkere,Turnover,Interception,Cian Fitzsimons
71,00:23:25,1,Killinkere,Shot from play,Save,Phelim Cusack
72,00:23:29,1,Killinkere,Attacks,Shot taken,Phelim Cusack
73,00:24:12,1,Killinkere,Shot from play,Wide,Ben Philingham
74,00:24:17,1,Killinkere,Attacks,Shot taken,Ben Philingham
75,00:24:27,1,Denn,Kickout,Break lost,Sean Brady
76,00:24:52,1,Killinkere,Possession lost,Hand pass,Keiran Smith
77,00:25:00,1,Killinkere,Turnover,In Contact,Keiran Smith
78,00:25:11,1,Killinkere,Possession lost,Kick pass,Keiran Smith
79,00:25:47,1,Denn,Shot from play,Wide,Player 12
80,00:25:52,1,Denn,Attacks,Shot taken,Player 12
81,00:26:06,1,Killinkere,Kickout,Short won,Shaun Clarke
82,00:27:11,1,Killinkere,Shot from play,Save,Ben Philingham
83,00:27:21,1,Killinkere,Attacks,Shot taken,Ben Philingham
84,00:27:24,1,Killinkere,Shot from play,Point,Keiran Smith
85,00:27:31,1,Killinkere,Attacks,Shot taken,Keiran Smith
86,00:27:45,1,Denn,Kickout,Lost clean,
