Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
68,00:18:11,Killinkere,Shot from play,1,Goal,Fiachra Mooney,0.06966463,0.3366486,3,#70B12A,1,3
69,00:18:17,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
70,00:18:39,Lavey,Substitution,1,Player 18,Player 2,,,0,,YES,0
71,00:18:42,Lavey,Kickout,1,Break lost,Harry McQuade,0.6047256,0.4474602,1,,0,0
72,00:19:06,Killinkere,Possession lost,1,Kick pass,Fiachra Mooney,,,-1,,1,0
73,00:19:15,Killinkere,Attacks,1,Kick lost,Fiachra Mooney,,,0,,1,0
74,00:19:52,Lavey,Shot from play,1,Point,Player 3,0.7698171,0.4208958,1,#ffffff,1,1
75,00:19:59,Lavey,Attacks,1,Shot taken,Player 3,,,0,,1,0
76,00:20:05,Killinkere,Kickout,1,Break won,Ben Philingham,0.5974085,0.04368107,1,,1,0
77,00:20:35,Killinkere,Possession lost,1,Kick pass,Darren Smith,,,-1,,1,0
78,00:20:50,Lavey,Shot from play,1,Point,Player 18,0.8233232,0.6979247,1,#ffffff,1,1
79,00:20:59,Lavey,Attacks,1,Shot taken,Player 18,,,0,,1,0
80,00:21:13,Killinkere,Kickout,1,Won clean,Benny McConnell,0.3751524,0.3260229,1,,1,0
81,00:21:25,Lavey,Free conceded,1,Defensive third,,,,-1,,1,0
82,00:21:44,Killinkere,Scoreable free,1,Point,Fiachra Mooney,0.2036585,0.3988853,1,#ffffff,1,1
83,00:21:47,Killinkere,Attacks,1,Mark taken,Fiachra Mooney,,,1,,1,0
84,00:22:01,Lavey,Kickout,1,Break won,,0.3504573,0.0740404,1,,1,0
85,00:22:13,Killinkere,Free conceded,1,Middle third,Benny McConnell,,,0,,1,0
86,00:22:31,Lavey,Shot from play,1,Wide,Player 8,0.7007622,0.3950903,0,#ed1c24,1,0
87,00:22:35,Lavey,Attacks,1,Shot taken,Player 8,,,0,,1,0
88,00:22:41,Killinkere,Kickout,1,Won clean,Keiran Smith,0.603811,0.8117722,1,,1,0
89,00:22:48,Lavey,Free conceded,1,Attacking third,,,,0,,1,0
