Event,Time,Period,Team Name,Name,Outcome,Player
123,00:53:48,2,Clones,Shot from play,Wide,
124,00:54:02,2,Killinkere,Kickout,Lost clean,Player 4
125,00:54:36,2,Clones,Shot from play,Short,Player 12
126,00:54:52,2,Killinkere,Free conceded,Middle third,Nathan McQuade
127,00:55:30,2,Clones,Shot from play,Wide,Player 9
128,00:55:46,2,Killinkere,Kickout,Break lost,
129,00:56:23,2,Clones,Scoreable free,Short,
130,00:57:11,2,Killinkere,Shot from play,Short,Fiachra Mooney
131,00:58:01,2,Killinkere,Scoreable free,Point,Cian McGovern
132,00:58:09,2,Clones,Kickout,Break won,Player 2
133,00:58:26,2,Clones,Free conceded,Defensive third,Player 2
134,00:59:01,2,Killinkere,Scoreable free,Wide,Conall Mooney
135,00:59:16,2,Clones,Free conceded,Middle third,
136,01:00:01,2,Killinkere,Free conceded,Attacking third,Jason McMahon
137,01:00:55,2,Killinkere,Shot from play,Wide,Ryan Smith
