Event,Time,Period,Team Name,Name,Outcome,Player
146,00:44:42,2,Killinkere,Substitution,Substitution,Ryan Smith
147,00:44:59,2,Killinkere,Turnover,In Contact,Philip Corrigan
148,00:46:47,2,Templeport,Scoreable free,Wide,Player 9
149,00:46:57,2,Templeport,Attacks,Shot taken,Player 9
150,00:47:12,2,Killinkere,Kickout,Break lost,
151,00:47:34,2,Killinkere,Free conceded,Defensive third,Cian Fitzsimons
152,00:47:44,2,Templeport,Shot from play,Save,
153,00:48:03,2,Templeport,Free conceded,Attacking third,
154,00:49:00,2,Templeport,Free conceded,Middle third,
155,00:49:30,2,Killinkere,Shot from play,2 Points,Philip Corrigan
156,00:49:34,2,Killinkere,Attacks,Shot taken,Philip Corrigan
157,00:49:58,2,Templeport,Kickout,Break won,
158,00:50:38,2,Killinkere,Free conceded,Middle third,Neill McCabe
159,00:51:00,2,Templeport,Scoreable free,Point,Player 9
160,00:51:29,2,Killinkere,Kickout,Break lost,
161,00:51:39,2,Killinkere,Turnover,Interception,Benny McConnell
162,00:52:00,2,Templeport,Free conceded,Middle third,Player 12
163,00:52:15,2,Killinkere,Possession lost,In Contact,Ciaran Flynn
164,00:52:26,2,Killinkere,Free conceded,Middle third,Cian Fitzsimons
165,00:52:36,2,Killinkere,Turnover,In Contact,Darrell Dolan
166,00:52:56,2,Killinkere,Shot from play,Point,Dara Sharkey
167,00:53:00,2,Killinkere,Attacks,Shot taken,Dara Sharkey
168,00:53:20,2,Templeport,Kickout,Break lost,Harry Banville
169,00:53:42,2,Killinkere,Shot from play,Wide,Ben Philingham
170,00:53:48,2,Killinkere,Attacks,Shot taken,Ben Philingham
171,00:54:13,2,Templeport,Kickout,Break lost,Philip Corrigan
172,00:54:40,2,Killinkere,Possession lost,Kick pass,Dara Sharkey
173,00:54:58,2,Killinkere,Substitution,,Dara Sharkey
174,00:55:07,2,Killinkere,Substitution,Substitution,Ciaran Flynn
175,00:55:12,2,Templeport,Kickout,Break won,
176,00:55:41,2,Killinkere,Free conceded,Defensive third,Ruairi O Connell
177,00:55:58,2,Templeport,Shot from play,Save,
178,00:56:05,2,Templeport,Turnover,In Contact,Player 4
179,00:56:15,2,Templeport,Free conceded,Middle third,
180,00:56:30,2,Killinkere,Shot from play,Short,Fintan O’Connell
181,00:56:55,2,Killinkere,Scoreable free,Point,Fintan O’Connell
182,00:57:05,2,Killinkere,Attacks,Shot taken,Fintan O’Connell
183,00:57:22,2,Templeport,Kickout,Break won,
184,00:57:38,2,Killinkere,Turnover,Interception,Ben Philingham
185,00:57:59,2,Killinkere,Shot from play,Point,Ruairi O Connell
186,00:58:03,2,Killinkere,Attacks,Shot taken,Ruairi O Connell
187,00:58:24,2,Templeport,Kickout,Break won,Player 5
188,00:58:39,2,Killinkere,Free conceded,Middle third,
189,00:59:01,2,Templeport,Shot from play,45,Player 11
190,00:59:35,2,Templeport,Scoreable free,Wide,Player 11
191,01:00:01,2,Killinkere,Kickout,Break lost,
192,01:00:13,2,Killinkere,Turnover,Interception,Mark Farrelly (S)
