Event,Time,Period,Team Name,Name,Outcome,Player
185,00:54:53,2,Killinkere,Shot from play,Goal,Fintan O’Connell
186,00:54:57,2,Killinkere,Attacks,Shot taken,Fintan O’Connell
187,00:55:30,2,Killinkere,Substitution,Substitution,James Farrelly
188,00:55:38,2,Denn,Kickout,Break won,Player 17
189,00:56:02,2,Killinkere,Turnover,Interception,Benny McConnell
190,00:56:14,2,Denn,Free conceded,Attacking third,
191,00:56:44,2,Killinkere,Shot from play,Goal,Kevin McCabe
192,00:56:48,2,Killinkere,Attacks,Shot taken,Kevin McCabe
193,00:57:17,2,Denn,Kickout,Lost clean,Alex Sweeney
194,00:57:41,2,Killinkere,Substitution,Substitution,Nathan McQuade
195,00:59:13,2,Denn,Shot from play,45,
196,00:59:20,2,Denn,Attacks,Shot taken,
197,01:00:02,2,Denn,Scoreable free,Point,Player 15
198,01:00:25,2,Killinkere,Kickout,Lost clean,Player 17
199,01:01:00,2,Killinkere,Substitution,Substitution,Fiachra Mooney
200,01:01:10,2,Killinkere,Free conceded,Middle third,Alex Sweeney
201,01:01:14,2,Killinkere,Turnover,Interception,Conall Mooney
202,01:01:40,2,Killinkere,Shot from play,Goal,Ruairi O Connell
203,01:01:46,2,Killinkere,Attacks,Shot taken,Ruairi O Connell
204,01:02:09,2,Denn,Kickout,Break won,Player 6
205,01:02:26,2,Killinkere,Free conceded,Middle third,Ruairi O Connell
206,01:02:54,2,Denn,Shot from play,Point,Player 20
207,01:03:01,2,Denn,Attacks,Shot taken,Player 20
