Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
68,00:21:36,Killinkere,Possession lost,1,Shot Short,,,,-1,,1,0
69,00:21:43,Killinkere,Attacks,1,Possession lost,,,,0,,1,0
70,00:21:58,Drumlane,Shot from play,1,Short,Player 13,0.8342988,0.6948887,-1,#ed1c24,1,0
71,00:22:06,Drumlane,Attacks,1,Shot taken,Player 13,,,0,,1,0
72,00:22:12,Drumlane,Shot from play,1,Wide,Player 13,0.8365853,0.7017196,0,#ed1c24,1,0
73,00:22:20,Drumlane,Attacks,1,Shot taken,Player 13,,,0,,1,0
74,00:22:32,Killinkere,Kickout,1,Lost clean,Player 3,0.595122,0.8148081,1,#ed1c24,0,0
75,00:22:55,Drumlane,Shot from play,1,Wide,Player 11,0.7707317,0.5726924,0,#ed1c24,1,0
76,00:22:59,Drumlane,Attacks,1,Shot taken,Player 11,,,0,,1,0
77,00:23:19,Drumlane,Substitution,1,Player 22,Player 10,,,0,,YES,0
78,00:23:28,Killinkere,Kickout,1,Short won,Liam McCabe,0.629878,0.500589,1,,1,0
79,00:24:08,Killinkere,Shot from play,1,Short,Alex Sweeney,0.1314024,0.2956635,-1,#ed1c24,1,0
80,00:24:14,Killinkere,Attacks,1,Shot taken,Alex Sweeney,,,0,,1,0
81,00:24:35,Drumlane,Substitution,1,Player 10,Player 22,,,0,,YES,0
82,00:24:40,Drumlane,Substitution,1,Player 22,Player 11,,,0,,YES,0
83,00:24:49,Killinkere,Free conceded,1,Defensive third,Harry Banville,,,-1,,1,0
84,00:25:16,Drumlane,Scoreable free,1,Wide,Player 12,0.7300305,0.7533304,0,#ed1c24,1,0
85,00:25:23,Drumlane,Attacks,1,Mark taken,Player 12,,,1,,1,0
86,00:25:50,Killinkere,Kickout,1,Break won,Jason McMahon,0.6051829,0.1560106,1,,1,0
87,00:26:02,Drumlane,Free conceded,1,Middle third,,,,0,,1,0
88,00:27:02,Killinkere,Possession lost,1,Handling,Alex Sweeney,,,-1,,1,0
89,00:27:11,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
90,00:27:19,Drumlane,Free conceded,1,Middle third,,,,0,,1,0
91,00:27:29,Drumlane,Free conceded,1,Middle third,Player 13,,,0,,1,0
92,00:28:24,Killinkere,Shot from play,1,Point,Alex Sweeney,0.2278963,0.4019212,1,#ffffff,1,1
93,00:28:27,Killinkere,Attacks,1,Shot taken,Alex Sweeney,,,0,,1,0
94,00:28:49,Drumlane,Kickout,1,Break lost,Jason McMahon,0.3980183,0.4360754,1,,0,0
95,00:29:08,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.06463414,0.3138791,1,#ffffff,1,1
96,00:29:10,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
97,00:29:33,Drumlane,Kickout,1,Break lost,Cian McGovern,0.4304878,0.4770605,1,,0,0
98,00:30:46,Killinkere,Shot from play,1,Point,Cian McGovern,0.1775915,0.3434795,1,#ffffff,1,1
99,00:30:50,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
